x-axis,F1
Hertz,dBV
+32.500E+00,-85.98856E+00
+32.600E+00,-84.60645E+00
+32.700E+00,-84.19306E+00
+32.800E+00,-79.72731E+00
+32.900E+00,-81.00978E+00
+33.000E+00,-46.28726E+00
+33.100E+00,-53.22428E+00
+33.200E+00,-79.41311E+00
+33.300E+00,-88.14757E+00
+33.400E+00,-80.15537E+00
+33.500E+00,-80.31727E+00
+33.600E+00,-87.59875E+00
+33.700E+00,-80.42752E+00
+33.800E+00,-88.17442E+00
+33.900E+00,-78.99244E+00
+34.000E+00,-46.15971E+00
+34.100E+00,-52.33888E+00
+34.200E+00,-77.14629E+00
+34.300E+00,-87.08809E+00
+34.400E+00,-85.65623E+00
+34.500E+00,-97.56904E+00
+34.600E+00,-86.64947E+00
+34.700E+00,-84.09996E+00
+34.800E+00,-89.26187E+00
+34.900E+00,-82.25085E+00
+35.000E+00,-46.18153E+00
+35.100E+00,-52.20504E+00
+35.200E+00,-89.63841E+00
+35.300E+00,-85.82876E+00
+35.400E+00,-107.67826E+00
+35.500E+00,-86.69686E+00
+35.600E+00,-81.06099E+00
+35.700E+00,-86.73389E+00
+35.800E+00,-87.13603E+00
+35.900E+00,-77.35729E+00
+36.000E+00,-46.55948E+00
+36.100E+00,-52.28444E+00
+36.200E+00,-93.79309E+00
+36.300E+00,-101.03666E+00
+36.400E+00,-89.08911E+00
+36.500E+00,-85.70014E+00
+36.600E+00,-86.44562E+00
+36.700E+00,-82.15818E+00
+36.800E+00,-85.51171E+00
+36.900E+00,-80.10176E+00
+37.000E+00,-46.96055E+00
+37.100E+00,-52.21989E+00
+37.200E+00,-82.56502E+00
+37.300E+00,-91.31172E+00
+37.400E+00,-88.06593E+00
+37.500E+00,-89.74019E+00
+37.600E+00,-80.61218E+00
+37.700E+00,-90.87547E+00
+37.800E+00,-91.29395E+00
+37.900E+00,-76.55713E+00
+38.000E+00,-47.60647E+00
+38.100E+00,-52.72518E+00
+38.200E+00,-80.12699E+00
+38.300E+00,-95.53942E+00
+38.400E+00,-81.08354E+00
+38.500E+00,-83.50535E+00
+38.600E+00,-80.46754E+00
+38.700E+00,-85.20742E+00
+38.800E+00,-89.67858E+00
+38.900E+00,-80.43748E+00
+39.000E+00,-47.76723E+00
+39.100E+00,-52.45096E+00
+39.200E+00,-85.57407E+00
+39.300E+00,-93.77970E+00
+39.400E+00,-81.67269E+00
+39.500E+00,-79.85550E+00
+39.600E+00,-83.00529E+00
+39.700E+00,-89.45755E+00
+39.800E+00,-80.28812E+00
+39.900E+00,-81.97061E+00
+40.000E+00,-48.16319E+00
+40.100E+00,-53.13439E+00
+40.200E+00,-79.59423E+00
+40.300E+00,-91.49607E+00
+40.400E+00,-83.78509E+00
+40.500E+00,-78.28885E+00
+40.600E+00,-78.73944E+00
+40.700E+00,-86.93318E+00
+40.800E+00,-83.21494E+00
+40.900E+00,-82.48646E+00
+41.000E+00,-48.58759E+00
+41.100E+00,-53.27481E+00
+41.200E+00,-79.83818E+00
+41.300E+00,-94.26074E+00
+41.400E+00,-89.60783E+00
+41.500E+00,-90.79169E+00
+41.600E+00,-90.83231E+00
+41.700E+00,-90.21280E+00
+41.800E+00,-88.80697E+00
+41.900E+00,-83.31204E+00
+42.000E+00,-49.06924E+00
+42.100E+00,-53.22958E+00
+42.200E+00,-76.61922E+00
+42.300E+00,-81.80470E+00
+42.400E+00,-89.50715E+00
+42.500E+00,-81.33907E+00
+42.600E+00,-92.16661E+00
+42.700E+00,-88.66914E+00
+42.800E+00,-88.00635E+00
+42.900E+00,-79.94598E+00
+43.000E+00,-49.60258E+00
+43.100E+00,-53.38968E+00
+43.200E+00,-80.35224E+00
+43.300E+00,-84.18577E+00
+43.400E+00,-79.30803E+00
+43.500E+00,-83.92939E+00
+43.600E+00,-86.33986E+00
+43.700E+00,-90.22651E+00
+43.800E+00,-96.95241E+00
+43.900E+00,-92.23428E+00
+44.000E+00,-50.32203E+00
+44.100E+00,-54.17396E+00
+44.200E+00,-79.55217E+00
+44.300E+00,-80.59166E+00
+44.400E+00,-85.92024E+00
+44.500E+00,-92.30646E+00
+44.600E+00,-84.42428E+00
+44.700E+00,-91.57630E+00
+44.800E+00,-85.54371E+00
+44.900E+00,-78.34425E+00
+45.000E+00,-51.26382E+00
+45.100E+00,-54.79488E+00
+45.200E+00,-78.26276E+00
+45.300E+00,-92.14154E+00
+45.400E+00,-95.07578E+00
+45.500E+00,-85.37868E+00
+45.600E+00,-100.08152E+00
+45.700E+00,-90.05913E+00
+45.800E+00,-87.78145E+00
+45.900E+00,-82.11079E+00
+46.000E+00,-52.00917E+00
+46.100E+00,-54.67075E+00
+46.200E+00,-83.51840E+00
+46.300E+00,-90.57625E+00
